School Name,Ensemble,Director,Year,Grade,Title,Composer/Arranger,Piece Type,Notes
Jacksonville High School,Wind Ensemble,Jessica Blanchet,2025,III,Canto,"McBeth, W. F.",MPA List,
Laney High School,Symphonic Band,Bob Pearson,2024,V,The Klaxon,Henry Fillmore/Balent,March,
Laney High School,Symphonic Band,Bob Pearson,2024,V,Flight of the Piasa,"Sheldon, Robert",MPA List,
Laney High School,Symphonic Band,Bob Pearson,2024,V,At Dawn They Slept,"Bocook, Jay",MPA List,
Lejeune High School,Concert Band,Tim Tyson,2022,III,"Zia,Zia! (Spanish March)",Claude T. Smith,March,
Lejeune High School,Concert Band,Tim Tyson,2022,III,Pueblo (Land of Ancient Peoples),"Higgins, John",MPA List,
Lejeune High School,Concert Band,Tim Tyson,2022,III,Blue Ridge Overture,"Erickson, Frank",MPA List,
Lejeune High School,Concert Band,Tim Tyson,2024,III,Aces High March,Ron Goodwin/Larry Daehn,March,
Lejeune High School,Concert Band,Tim Tyson,2024,III,Covington Square,"Swearingen, James",MPA List,
Lejeune High School,Concert Band,Tim Tyson,2024,III,Troy!,"Sweeney, Michael",MPA List,
Morehead City Middle School,7th-8th Grade Band,Jason Robison,2022,III,Grand Galop (Circus March),Johnnie Vinson,March,
Morehead City Middle School,7th-8th Grade Band,Jason Robison,2022,III,Wyndham Variations,"Swearingen, James",MPA List,
Morehead City Middle School,7th-8th Grade Band,Jason Robison,2022,III,Arabian Dances,"Barrett, Roland",MPA List,
Morehead City Middle School,7th and 8th Grade Band,Jason Robison,2023,III/IV,The Red Cape,James Meredith,March,
Morehead City Middle School,7th and 8th Grade Band,Jason Robison,2023,IV,Blue Ridge Saga,"Swearingen, James",MPA List,
Morehead City Middle School,7th and 8th Grade Band,Jason Robison,2023,III,Russian Folk Song Suite,"Moss, John",MPA List,
Morehead City Middle School,7th Grade Band,Jason Robison,2024,II/III,Kitty Hawk March,Ed Huckeby,March,
Morehead City Middle School,7th Grade Band,Jason Robison,2024,III,Freedom's Light,"Swearingen, James",MPA List,
Morehead City Middle School,7th Grade Band,Jason Robison,2024,II,"Pioneer Spirit, The","Story, Michael",MPA List,
Morehead City Middle School,8th Grade Band,Jason Robison,2024,IV,Photo Finish Galop,James Swearingen,March,
Morehead City Middle School,8th Grade Band,Jason Robison,2024,IV,"Irish Legend, An","Kiefer, Ed",MPA List,
Morehead City Middle School,8th Grade Band,Jason Robison,2024,IV,Mountain Country Dances,"Vinson, Johnnie",MPA List,
Murray Middle School,Falcon Band,Jessica Meade,2023,III,Photo Finish!,James Swearingen,March,
Murray Middle School,Falcon Band,Jessica Meade,2023,III,Beneath The Sacred Light,"Gillingham, David",MPA List,
Murray Middle School,Falcon Band,Jessica Meade,2023,III,Onward,"Gilroy, Gary",MPA List,
Murray Middle School,Falcon Band,Jessica Meade,2024,III,Fighting Falcon March,Todd Stalter,March,
Murray Middle School,Falcon Band,Jessica Meade,2024,III,Mission: Apollo,"Grant, Tyler",MPA List,
Murray Middle School,Falcon Band,Jessica Meade,2024,III,Arabian Dances,"Barrett, Roland",MPA List,
Murray Middle School,Falcon Band,Jessica Meade,2025,III,Darklands March,Randall D. Standridge,March,
Murray Middle School,Falcon Band,Jessica Meade,2025,III,Carolina Legend,"Swearingen, James",MPA List,
Murray Middle School,Falcon Band,Jessica Meade,2025,III,Energy!,"Sims, Adrian",MPA List,
Myrtle Gove Middle School,7th Grade Band,Jacob Stephens,2023,I,American Spirit March,John Higgins,March,
Myrtle Gove Middle School,7th Grade Band,Jacob Stephens,2023,I,Dance Celebration,"Smith, Robert W.",MPA List,
Myrtle Gove Middle School,7th Grade Band,Jacob Stephens,2023,I,Autumn Fanfare,"Rogers, Mekel",MPA List,
Myrtle Grove Middle School,Advanced Band,Jacob Stephens,2022,II,Aquia Landing,Paul Murtha,March,
Myrtle Grove Middle School,Advanced Band,Jacob Stephens,2022,II,Psalm 42,"Hazo, Samuel",MPA List,
Myrtle Grove Middle School,Advanced Band,Jacob Stephens,2022,II,Afterburn,"Standridge, Randall",MPA List,
Myrtle Grove Middle School,7th Grade Band,Jacob Stephens,2024,I,Union March,Mekel Rogers,March,
Myrtle Grove Middle School,7th Grade Band,Jacob Stephens,2024,I,Riverbend Rhapsody,"Shaffer, David",MPA List,
Myrtle Grove Middle School,7th Grade Band,Jacob Stephens,2024,I,Heroes and Glory,"Swearingen, James",MPA List,
Myrtle Grove Middle School,8th Grade Band,Jacob Stephens,2024,II,Forward March!,Paul Murtha,March,
Myrtle Grove Middle School,8th Grade Band,Jacob Stephens,2024,II,Celtic Air and Dance No. 2,"Sweeney, Michael",MPA List,
Myrtle Grove Middle School,8th Grade Band,Jacob Stephens,2024,II,Night Fury,"Chambers, Carol Brittin",MPA List,
Myrtle Grove Middle School,8th Grade Band,Jacob Stephens,2025,II,First Expedition March,Chris Ferguson,March,
Myrtle Grove Middle School,8th Grade Band,Jacob Stephens,2025,II,Danza de España,"Brittin Chambers, Carol",MPA List,
Myrtle Grove Middle School,8th Grade Band,Jacob Stephens,2025,II,Violento,"Lopez, Victor",MPA List,
New Bern High School,Symphonic Band,Chris Elbing/Colin McKeon,2022,IV,Coast Guards,Karl L. King/James Swearingen,March,
New Bern High School,Symphonic Band,Chris Elbing/Colin McKeon,2022,IV,Anthem for Winds and Percussion,"Smith, Claude",MPA List,
New Bern High School,Symphonic Band,Chris Elbing/Colin McKeon,2022,IV,"Great Locomotive Chase, The","Smith, Robert W.",MPA List,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2022,VI,The Black Horse Troop March,John Philip Sousa,March,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2022,VI,Light Cavalry Overture,Von Suppe/Fillmore/Foster,MPA List,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2022,VI,Grant Them Eternal Rest,"Boysen, Andrew",MPA List,
New Bern High School,Symphonic Band,Colin McKeon/Chris Elbing,2023,IV,Project March,Harold Bennett arranged by Larry Clark,March,
New Bern High School,Symphonic Band,Colin McKeon/Chris Elbing,2023,IV,Nathan Hale Trilogy,"Curnow, James",MPA List,
New Bern High School,Symphonic Band,Colin McKeon/Chris Elbing,2023,IV,"Irish Legend, An","Kiefer, Ed",MPA List,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2023,VI,The Thunderer March,John Philip Sousa,March,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2023,VI,Third Suite,"Jager, Robert",MPA List,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2023,VI,With Heart and Voice,"Gillingham, David",MPA List,
New Bern High School,Symphonic Band,Colin McKeon/Chris Elbing,2024,IV,Genius March,Harold Bennett/Larry Clark,March,
New Bern High School,Symphonic Band,Colin McKeon/Chris Elbing,2024,IV,Two Irish Sketches,"Black, Dave",MPA List,
New Bern High School,Symphonic Band,Colin McKeon/Chris Elbing,2024,IV,Incantations,"Smith, Robert W.",MPA List,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2024,VI,El Capitan March,John Philip Sousa,March,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2024,VI,Fanfare and Allegro,"Williams, Clifton",MPA List,
New Bern High School,Wind Ensemble,Chris Elbing/Colin McKeon,2024,VI,Fusion,"Balmages, Brian",MPA List,
New Bridge Middle School,7th Grade,Steven Kosch,2022,I,Infinity,James Curnow,March,
New Bridge Middle School,7th Grade,Steven Kosch,2022,I,Crescent Moon,"Story, Michael",MPA List,
New Bridge Middle School,7th Grade,Steven Kosch,2022,I,Northridge Overture,"O'Reilly, John",MPA List,
New Bridge Middle School,8th Grade,Steven Kosch,2022,II,Tall Cedars,Eric Osterling,March,
New Bridge Middle School,8th Grade,Steven Kosch,2022,II,Maesong,"Owens, William",MPA List,
New Bridge Middle School,8th Grade,Steven Kosch,2022,II,Harrowgate Festival,"Edmondson, John",MPA List,
New Bridge Middle School,7th Grade,Steven Kosch,2023,II,The Golden Eagle March,John Edmondson,March,
New Bridge Middle School,7th Grade,Steven Kosch,2023,II,Triton Fanfare,"Smith, Robert W.",MPA List,
New Bridge Middle School,7th Grade,Steven Kosch,2023,II,Nottingham Castle,"Daehn, Larry",MPA List,
New Bridge Middle School,8th Grade,Steven Kosch,2023,II,Brandy Station March,John Edmondson,March,
New Bridge Middle School,8th Grade,Steven Kosch,2023,II,Wind Sketch,Edmondson John,MPA List,
New Bridge Middle School,8th Grade,Steven Kosch,2023,II,Castle Hill Overture,"McGinty, Anne",MPA List,
New Bridge Middle School,Concert Band,Steven Kosch,2024,II,Morning Star,Chris Ferguson,March,
New Bridge Middle School,Concert Band,Steven Kosch,2024,II,Apollo Fanfare,"Smith, Robert W.",MPA List,
New Bridge Middle School,Concert Band,Steven Kosch,2024,II,Imperium,"Sweeney, Michael",MPA List,
Newport Middle School,6th Grade Beginner Band,David Stroud,2022,I,March Royale,Mark Williams,March,
Newport Middle School,6th Grade Beginner Band,David Stroud,2022,I,The Quest for Coronado's Gold,"Ferguson, Chris",MPA List,
Newport Middle School,6th Grade Beginner Band,David Stroud,2022,I,Rust Belt,"Owens, William",MPA List,
Newport Middle School,7/8 grade Band,David Stroud,2022,II/III,Forward March,Paul Murtha,March,
Newport Middle School,7/8 grade Band,David Stroud,2022,III,Cyclone,"Oare, Michael",MPA List,
Newport Middle School,7/8 grade Band,David Stroud,2022,II,Chester Variations,"Del Borgo,  Elliot",MPA List,
Newport Middle School,7th and 8th Grade Band,David Stroud,2023,II/III,Darklands March,Randall D. Standridge,March,
Newport Middle School,7th and 8th Grade Band,David Stroud,2023,III,"Great American Frontier, The",Morales Erik,MPA List,
Newport Middle School,7th and 8th Grade Band,David Stroud,2023,II,Zeal,"Grice, Rob",MPA List,
Newport Middle School,6th and 7th Grade Band,Charlene Outland,2024,I/II,Synergy March,William Owens,March,
Newport Middle School,6th and 7th Grade Band,Charlene Outland,2024,I,Riverbend Rhapsody,"Shaffer, David",MPA List,
Newport Middle School,6th and 7th Grade Band,Charlene Outland,2024,II,Year of the Dragon,"Sweeney, Michael",MPA List,
Newport Middle School,8th Grade Band,Charlene Outland,2024,III,Guardians of Liberty,Paul Murtha,March,
Newport Middle School,8th Grade Band,Charlene Outland,2024,III,Clark County Celebration,"Swearingen, James",MPA List,
Newport Middle School,8th Grade Band,Charlene Outland,2024,III,The Cave You Fear,"Markowski, Michael",MPA List,
Noble Middle School,7th and 8th Grade Band,Patti Knauf,2023,II,Liberty March,John Edmondson,March,
Noble Middle School,7th and 8th Grade Band,Patti Knauf,2023,II,Humble Heart,arr. Ed Kiefer,MPA List,
Noble Middle School,7th and 8th Grade Band,Patti Knauf,2023,II,Pandora,"Standridge, Randall",MPA List,
Noble Middle School,Concert Band,Patti Knauf,2024,II,Postwood March,John O'Reilly,March,
Noble Middle School,Concert Band,Patti Knauf,2024,II,Edinburgh Castle,"Kinyon, John",MPA List,
Noble Middle School,Concert Band,Patti Knauf,2024,II,Legend of the Eagle,"McGinty, Anne",MPA List,
Noble Middle School,Concert Band,Patti Knauf,2025,II,March of Freedom,John Edmondson,March,
Noble Middle School,Concert Band,Patti Knauf,2025,II,Sea Song Trilogy,"McGinty, Anne",MPA List,
Noble Middle School,Concert Band,Patti Knauf,2025,II,Call of the Ancient Clans,"Webb, Amy",MPA List,
Northside High School,Concert Band,Aaron Kingsberry,2022,IV,El Zorro Rojo,Randall Standridge,March,
Northside High School,Concert Band,Aaron Kingsberry,2022,IV,Soar High,"Kiefer, Ed",MPA List,
Northside High School,Concert Band,Aaron Kingsberry,2022,IV,Scramble,"Stalter, Todd",MPA List,
Northside High School,Concert Band,Aaron Kingsberry,2023,IV,The Red Cape,James Meredith,March,
Northside High School,Concert Band,Aaron Kingsberry,2023,IV,Cumberland Cross,"Strommen, Carl",MPA List,
Northside High School,Concert Band,Aaron Kingsberry,2023,IV,Albanian Dance,"Hanson, Shelley",MPA List,
Northside High School,Concert Band,Aaron Kingsberry,2024,IV,Big Circus March,Robert E Foster,March,
Northside High School,Concert Band,Aaron Kingsberry,2024,IV,Ritual Fire Dance,De Fella/arr. Bocook,MPA List,
Northside High School,Concert Band,Aaron Kingsberry,2024,IV,Incantations,"Smith, Robert W.",MPA List,
Richlands High School,Concert Band,Greg Shreckengost,2022,III,Valdres,Johannes Hanssen/Jim Curnow,March,
Richlands High School,Concert Band,Greg Shreckengost,2022,III,Appalachian Morning,"Sheldon, Robert",MPA List,
Richlands High School,Concert Band,Greg Shreckengost,2022,III,Call of the Wild,"Balmages,  Brian",MPA List,
Richlands High School,Concert Band,Wes Adams,2023,III,Alamo March,Karl L. King arranged by James Swearingen,March,
Richlands High School,Concert Band,Wes Adams,2023,III,As Summer Was Just Beginning,"Daehn, Larry",MPA List,
Richlands High School,Concert Band,Wes Adams,2023,III,Southern Folk Rhapsody,"Sweeney, Michael",MPA List,
Richlands High School,Concert Band,Wesley Adams,2024,III/IV,Capstone (March),Tyler Arcari,March,
Richlands High School,Concert Band,Wesley Adams,2024,III,First Light on the Chesapeake,"Hosay, James",MPA List,
Richlands High School,Concert Band,Wesley Adams,2024,IV,Cumberland Falls Overture,"Karrick, Brant",MPA List,
Roland Grise Middle School,Concert Band,Joseph Hulett Jr.,2024,II,Union March,Mekel Rogers,March,
Roland Grise Middle School,Concert Band,Joseph Hulett Jr.,2024,II,Curse of Tutankhamun,"Story, Michael",MPA List,
Roland Grise Middle School,Concert Band,Joseph Hulett Jr.,2024,II,Armory,"Standridge, Randall",MPA List,
Roland Grise Middle School,Concert Band,Joseph Hulett Jr.,2025,II,Matrix March,Ed Hucke,March,
Roland Grise Middle School,Concert Band,Joseph Hulett Jr.,2025,II,Year of the Dragon,"Sweeney, Michael",MPA List,
Roland Grise Middle School,Concert Band,Joseph Hulett Jr.,2025,II,In Quest of Uluru,"Swearingen, James",MPA List,
Southwest Middle School,Band,Caleb Lanning,2023,I,Mount Vernon March,John Edmondson,March,
Southwest Middle School,Band,Caleb Lanning,2023,I,Foxwood Overture,"McGinty, Anne",MPA List,
Southwest Middle School,Band,Caleb Lanning,2023,I,"Tempest, The","Smith, Robert W.",MPA List,
Southwest Onslow High School,Stallion Winds,Lance Barton,2022,III,March of the Royals,Bill Calhoun,March,
Southwest Onslow High School,Stallion Winds,Lance Barton,2022,III,Pueblo (Land of Ancient Peoples),"Higgins, John",MPA List,
Southwest Onslow High School,Stallion Winds,Lance Barton,2022,III,Locksley Hall,"Del Borgo,  Elliot",MPA List,
Southwest Onslow High School,Stallion Winds,Lance Barton,2023,II/III,Capstone (March),Tyler Arcari,March,
Southwest Onslow High School,Stallion Winds,Lance Barton,2023,III,Windsongs,"Shaffer, David",MPA List,
Southwest Onslow High School,Stallion Winds,Lance Barton,2023,II,Byzantine Dances,"Chambers, Carol Brittin",MPA List,
Southwest Onslow High School,Stallion Winds,Lance Barton,2024,II/III,Big Circus March,Robert E. Foster,March,
Southwest Onslow High School,Stallion Winds,Lance Barton,2024,II,Fragile,"Standridge, Randall",MPA List,
Southwest Onslow High School,Stallion Winds,Lance Barton,2024,III,"Eagle's Triumph, The","Shaffer, David",MPA List,
Surf City Middle School,Band,Trevor Judy,2022,II,Fighting Falcon March,Todd Stalter,March,
Surf City Middle School,Band,Trevor Judy,2022,II,Imperium,"Sweeney, Michael",MPA List,
Surf City Middle School,Band,Trevor Judy,2022,II,Overlords,"O’Loughlin, Sean",MPA List,
Surf City Middle School,Band,Trevor Judy,2023,II,Acclaim,Larry Clark,March,
Surf City Middle School,Band,Trevor Judy,2023,II,Phantom Ship,"Del Borgo,  Elliot",MPA List,
Surf City Middle School,Band,Trevor Judy,2023,II,Byzantine Dances,"Chambers, Carol Brittin",MPA List,
Surf City Middle School,Band,Trevor Judy,2024,II,Activity (March),Harold Bennett/Larry Clark,March,
Surf City Middle School,Band,Trevor Judy,2024,II,Astro Overture,"Kinyon, John",MPA List,
Surf City Middle School,Band,Trevor Judy,2024,II,Fortress of Stone,"Arcari, Tyler",MPA List,
Surf City Middle School,Band,Trevor Judy,2025,II,Tall Cedars,Eric Osterling,March,
Surf City Middle School,Band,Trevor Judy,2025,II,"Tell Tale Heart, The","Story, Mike",MPA List,
Surf City Middle School,Band,Trevor Judy,2025,II,Skygazer Fanfare,"Standridge, Randall",MPA List,
Swansboro High School,Concert Band,Kristen Graham,2022,V,The Black Mask,Henry Fillmore/Robert E. Foster,March,
Swansboro High School,Concert Band,Kristen Graham,2022,V,Beyond the Horizon,"Galante, Rossano",MPA List,
Swansboro High School,Concert Band,Kristen Graham,2022,V,"Prelude,Siciliano and Rondo",Arnold/arr. Paynter,MPA List,
Swansboro High School,Symphonic Band,Kristen Graham,2023,IV,High School Cadets,John Phillips Sousa arranged by Andrew Balant,March,
Swansboro High School,Symphonic Band,Kristen Graham,2023,IV,Evensong,"Harbinson, William",MPA List,
Swansboro High School,Symphonic Band,Kristen Graham,2023,IV,Jackson Lake Overture,"Williams, Mark",MPA List,
Swansboro High School,Wind Ensemble,Kristen Graham,2023,VI,The Trombone King,Karl King,March,
Swansboro High School,Wind Ensemble,Kristen Graham,2023,VI,Sky is Waiting,"Hazo, Samuel",MPA List,
Swansboro High School,Wind Ensemble,Kristen Graham,2023,VI,Art in the Park,"Sheldon, Robert",MPA List,
Swansboro High School,Symphonic Band,Kristen Graham,2024,IV,Cornerstone,Tyler Arcari,March,
Swansboro High School,Symphonic Band,Kristen Graham,2024,IV,Shenandoah,"Ticheli, Frank",MPA List,
Swansboro High School,Symphonic Band,Kristen Graham,2024,IV,When Honor Prevails,"Swearingen, James",MPA List,
Swansboro High School,Wind Ensemble,Kristen Graham,2024,VI,The Thunderer,John Philip Sousa,March,
Swansboro High School,Wind Ensemble,Kristen Graham,2024,VI,English Folk Song Suite,"Vaughn Williams, Ralph",MPA List,
Swansboro High School,Wind Ensemble,Kristen Graham,2024,VI,Variation on a Korean Folk Song,"Chance, John Barnes",MPA List,
Swansboro High School,Symphonic Band,Kristen Graham,2025,IV,Rough Riders,Karl K. King arr  James Swearingen,March,
Swansboro High School,Symphonic Band,Kristen Graham,2025,IV,"Journey, The","Karrick, Brant",MPA List,
Swansboro High School,Symphonic Band,Kristen Graham,2025,IV,Herndon Exaltations (A Celebration of Excellence),"Smith, Robert W.",MPA List,
Swansboro High School,Wind Ensemble,Kristen Graham,2025,VI,Fairest of the Fair,John Philip Sousa,March,
Swansboro High School,Wind Ensemble,Kristen Graham,2025,VI,Burst,"O'Loughlin, Sean",MPA List,
Swansboro High School,Wind Ensemble,Kristen Graham,2025,VI,"Movement for Rosa, A","Camphouse, Mark",MPA List,
Swansboro Middle School,7th Grade Band,Phil Smith,2022,II,Baywood March,Robert Lee,March,
Swansboro Middle School,7th Grade Band,Phil Smith,2022,II,Too Beautiful for Words,"Grice, Rob",MPA List,
Swansboro Middle School,7th Grade Band,Phil Smith,2022,II,Comet Ride,"Balmages, Brian",MPA List,
Swansboro Middle School,8th Grade Band,Phil Smith,2022,II,New Century March,Ken Harris,March,
Swansboro Middle School,8th Grade Band,Phil Smith,2022,II,Ellan Vannin Suite,"Wagner, Douglas",MPA List,
Swansboro Middle School,8th Grade Band,Phil Smith,2022,II,Emerald Point Overture,"McGinty, Anne",MPA List,
Swansboro Middle School,8th Grade Band,Zachary Cummings,2023,II,Kitty Hawk March,Ed Huckeby,March,
Swansboro Middle School,8th Grade Band,Zachary Cummings,2023,II,Castles and Dragons,"Stalter, Todd",MPA List,
Swansboro Middle School,8th Grade Band,Zachary Cummings,2023,II,Gates of Orion,"Sweeney, Michael",MPA List,
Swansboro Middle School,7th Grade Band,Zachary Cummings,2024,I,Guardians of Liberty,Paul Murtha,March,
Swansboro Middle School,7th Grade Band,Zachary Cummings,2024,I,"Water is Wide, The","Griffin, Julie",MPA List,
Swansboro Middle School,7th Grade Band,Zachary Cummings,2024,I,"Tempest, The","Smith, Robert W.",MPA List,
Swansboro Middle School,8th Grade Band,Zachary Cummings,2024,II/III,Liberty March,James Swearingen,March,
Swansboro Middle School,8th Grade Band,Zachary Cummings,2024,III,Rites of Tamburo,"Smith, Robert W.",MPA List,
Swansboro Middle School,8th Grade Band,Zachary Cummings,2024,II,Groovee!,"Saucedo, Richard",MPA List,
The Epiphany School of Global Studies Middle School,Concert Band,Mabel Rosney,2024,II,Tambora!,William Owens,March,
The Epiphany School of Global Studies Middle School,Concert Band,Mabel Rosney,2024,II,Resilience,PINKZEBRA,MPA List,
The Epiphany School of Global Studies Middle School,Concert Band,Mabel Rosney,2024,II,Scorpion!,"Saucedo, Richard",MPA List,
Topsail High School,Symphonic Band,Jake Wentzek,2022,III,The Streets of Madrid,John Moss,March,
Topsail High School,Symphonic Band,Jake Wentzek,2022,III,Two British Folk Songs,"Del Borgo,  Elliot",MPA List,
Topsail High School,Symphonic Band,Jake Wentzek,2022,III,Adrenaline Engines,"Standridge, Randall",MPA List,
Topsail High School,Wind Ensemble,Jake Wentzek,2022,V,Invictus,Karl L. King/Andrew Glover,March,
Topsail High School,Wind Ensemble,Jake Wentzek,2022,V,Solas Ane' (Yesterday's Joy),"Hazo, Samuel",MPA List,
Topsail High School,Wind Ensemble,Jake Wentzek,2022,V,Mount Everest,"Galante, Rossano",MPA List,
Topsail High School,Symphonic Band,Jake Wentzek,2023,III,New Forest March,Johnnie Vinson,March,
Topsail High School,Symphonic Band,Jake Wentzek,2023,III,Fields of Clover,"Standridge, Randall",MPA List,
Topsail High School,Symphonic Band,Jake Wentzek,2023,III,Synthesis,"Balmages, Brian",MPA List,
Topsail High School,Wind Ensemble,Jake Wentzek,2023,V,Amparito Roca,Jaime Texidor arranged by Gary Fagan,March,
Topsail High School,Wind Ensemble,Jake Wentzek,2023,V,O Magnum Mysterium,Lauridsen/arr. Reynolds,MPA List,
Topsail High School,Wind Ensemble,Jake Wentzek,2023,V,They Shall Run and Be Free,"Karrick, Brant",MPA List,
Topsail High School,Symphonic Band,Jake Wentzek/Ally Smith,2024,IV,Balalaika!,James Meredith,March,
Topsail High School,Symphonic Band,Jake Wentzek/Ally Smith,2024,IV,Soar High,"Kiefer, Ed",MPA List,
Topsail High School,Symphonic Band,Jake Wentzek/Ally Smith,2024,IV,Infinity,"Copley, Katahj",MPA List,
Topsail High School,Wind Ensemble,Jake Wentzek,2024,VI,Eagle Squadron,Kenneth J. Alford/R. Mark Rogers,March,
Topsail High School,Wind Ensemble,Jake Wentzek,2024,V,Wayfaring Stranger,"Nelson, Christopher",MPA List,
Topsail High School,Wind Ensemble,Jake Wentzek,2024,VI,Vesuvius,"Ticheli, Frank",MPA List,
Topsail High School,Symphonic Band,Jake Wentzek,2025,IV,Headway March,Henry Fillmore arr  Nicholas J. Contorno,March,
Topsail High School,Symphonic Band,Jake Wentzek,2025,IV,Halcyon Hearts,"Copley, Katahj",MPA List,
Topsail High School,Symphonic Band,Jake Wentzek,2025,IV,Choose Joy,"Standridge, Randall",MPA List,
Topsail High School,Wind Ensemble,Jake Wentzek,2025,VI/MW,Who's Who in Navy Blue,John Philip Sousa,March,
Topsail High School,Wind Ensemble,Jake Wentzek,2025,VI,Carmina Burana,Orff/arr. Krance,MPA List,
Topsail Middle School,Concert Band,Bob Norem,2022,II,Manhattan Beach,John Philip Sousa/Michael Story,March,
Topsail Middle School,Concert Band,Bob Norem,2022,II,Sea Song Trilogy,"McGinty, Anne",MPA List,
Topsail Middle School,Concert Band,Bob Norem,2022,II,Aztec Celebration,"Shaffer, David",MPA List,
Topsail Middle School,Concert Band,Bob Norem,2023,II,March from First Suite for Military Band,Gustav Holst arranged by Michael Story,March,
Topsail Middle School,Concert Band,Bob Norem,2023,II,Chorale from Jupiter,Holst/arr. Murtha,MPA List,
Topsail Middle School,Concert Band,Bob Norem,2023,II,Colliding Visions,"Balmages, Brian",MPA List,
Topsail Middle School,Concert Band,Bob Norem,2024,II,Forward March,Paul Murtha,March,
Topsail Middle School,Concert Band,Bob Norem,2024,II,Imperium,"Sweeney, Michael",MPA List,
Topsail Middle School,Concert Band,Bob Norem,2024,II,"Crossings, The","Sheldon, Robert",MPA List,
Topsail Middle School,Concert Band,Bob Norem,2025,II,Liberty March,John Edmondson,March,
Topsail Middle School,Concert Band,Bob Norem,2025,II,Gathering in the Glen,"Sweeney, Michael",MPA List,
Topsail Middle School,Concert Band,Bob Norem,2025,II,Thunder Bay Legend,"Shaffer, David",MPA List,
Trask Middle School,Concert Band,Casey Black,2025,II,Over the Hills,Alexandre Carlin,March,
Trask Middle School,Concert Band,Casey Black,2025,II,Harrowgate Festival,"Edmondson, John",MPA List,
Trask Middle School,Concert Band,Casey Black,2025,II,Comet Ride,"Balmages, Brian",MPA List,
Trexler Middle School,Symphonic Band,Greg Shreckengost,2023,I,Union March,Mekel Rogers,March,
Trexler Middle School,Symphonic Band,Greg Shreckengost,2023,I,Mount Rushmore,"Story, Michael",MPA List,
Trexler Middle School,Symphonic Band,Greg Shreckengost,2023,I,Furioso,"Smith, Robert W.",MPA List,
Trexler Middle School,Symphonic Band,Greg Shreckengost,2024,II,Stony Creek March,Anne McGinty,March,
Trexler Middle School,Symphonic Band,Greg Shreckengost,2024,II,"Celebration Overture, A","Swearingen, James",MPA List,
Trexler Middle School,Symphonic Band,Greg Shreckengost,2024,II,Primordium,"Williams, Mark",MPA List,
Tucker Creek Middle School,7th Grade Band,Blair Dyal,2022,II,"All for One, One for All",Carol Brittin Chambers,March,
Tucker Creek Middle School,7th Grade Band,Blair Dyal,2022,II,Psalm 42,"Hazo, Samuel",MPA List,
Tucker Creek Middle School,7th Grade Band,Blair Dyal,2022,II,Abandoned Treasure Hunt,"Grice, Rob",MPA List,
Tucker Creek Middle School,8th Grade Band,Blair Dyal,2022,III,Pride of the Regiment,Nancy Seward,March,
Tucker Creek Middle School,8th Grade Band,Blair Dyal,2022,III,Annabel Lee,"Wagner, Douglas",MPA List,
Tucker Creek Middle School,8th Grade Band,Blair Dyal,2022,III,Rites of Tamburo,"Smith, Robert W.",MPA List,
Tucker Creek Middle School,7th Grade Band,Blair Dyal,2023,II,March to Buckingham Palace,Mekel Rogers,March,
Tucker Creek Middle School,7th Grade Band,Blair Dyal,2023,II,Moonlit Skies,"O'Loughlin, Sean",MPA List,
Tucker Creek Middle School,7th Grade Band,Blair Dyal,2023,II,"Pit and the Pendulum, The","Story, Michael",MPA List,
Tucker Creek Middle School,8th Grade Band,Blair Dyal,2023,III,Normandy Beach,John Edmondson,March,
Tucker Creek Middle School,8th Grade Band,Blair Dyal,2023,III,Beneath The Sacred Light,"Gillingham, David",MPA List,
Tucker Creek Middle School,8th Grade Band,Blair Dyal,2023,III,Croatan Warrior,"Kiefer, Ed",MPA List,
Tucker Creek Middle School,7th Grade Band,Jodi Campbell,2024,II,Plaza de Toros,Michael Story,March,
Tucker Creek Middle School,7th Grade Band,Jodi Campbell,2024,II,Engines of Resistance,"Clark, Larry",MPA List,
Tucker Creek Middle School,7th Grade Band,Jodi Campbell,2024,II,Serengeti Dreams,"Smith, Robert W.",MPA List,
Tucker Creek Middle School,8th Grade Band,Jodi Campbell,2024,II,Andalucia,Victor Lopez,March,
Tucker Creek Middle School,8th Grade Band,Jodi Campbell,2024,II,Celtic Air and Dance,"Sweeney, Michael",MPA List,
Tucker Creek Middle School,8th Grade Band,Jodi Campbell,2024,II,Armory,"Standridge, Randall",MPA List,
West Carteret High School,Concert Band,Andrew T. Wright,2022,IV,Rough Riders,Karl L. King/James Swearingen,March,
West Carteret High School,Concert Band,Andrew T. Wright,2022,IV,Echoes,"Hazo, Samuel",MPA List,
West Carteret High School,Concert Band,Andrew T. Wright,2022,IV,Chanteys,"Sheldon, Robert",MPA List,
West Carteret High School,Symphonic Band,Andrew T. Wright,2022,VI,Bandology,Eric Osterling,March,
